SID	DCK	Configuration file	SID Description	DCK Description  ( read as tab separated: awk -F '\t' '' )
022	927	ICOADS3_to_CDS_ships.json	NCDC: 1980-84 Annual Receipts�	International Marine (US- or foreign-keyed ship data)
025	927	ICOADS3_to_CDS_ships.json	NCDC: 1980-85 Annual Receipts�	International Marine (US- or foreign-keyed ship data)
027	927	ICOADS3_to_CDS_ships.json	NCDC: 1980-85 Annual Receipts�	International Marine (US- or foreign-keyed ship data)
028	927	ICOADS3_to_CDS_ships.json	NCDC: 1980-85 Annual Receipts�	International Marine (US- or foreign-keyed ship data)
030	927	ICOADS3_to_CDS_ships.json	NCDC: 1980-84 Period of Record�	International Marine (US- or foreign-keyed ship data)
032	927	ICOADS3_to_CDS_ships.json	NCDC: Annual Receipts (and duplicates; starting in 1986)�	International Marine (US- or foreign-keyed ship data)
033	927	ICOADS3_to_CDS_ships.json	NCDC: Annual Receipts (and duplicates; starting in 1986)�	International Marine (US- or foreign-keyed ship data)
034	927	ICOADS3_to_CDS_ships.json	NCDC: 1986-97 Receipts (delayed)�	International Marine (US- or foreign-keyed ship data)
035	927	ICOADS3_to_CDS_ships.json	NCDC: 1986-97 Receipts (delayed)�	International Marine (US- or foreign-keyed ship data)
036	927	ICOADS3_to_CDS_ships.json	NCDC: 1986-97 Receipts (delayed)�	International Marine (US- or foreign-keyed ship data)
037	927	ICOADS3_to_CDS_ships.json	NCDC: 1986-97 Receipts (delayed)�	International Marine (US- or foreign-keyed ship data)
038	927	ICOADS3_to_CDS_ships.json	NCDC: 1986-97 Receipts (delayed)�	International Marine (US- or foreign-keyed ship data)
039	927	ICOADS3_to_CDS_ships.json	NCDC: 1986-97 Receipts (delayed)�	International Marine (US- or foreign-keyed ship data)
040	927	ICOADS3_to_CDS_ships.json	NCDC: 1986-97 Receipts (delayed)�	International Marine (US- or foreign-keyed ship data)
041	927	ICOADS3_to_CDS_ships.json	NCDC: 1986-97 Receipts (delayed)�	International Marine (US- or foreign-keyed ship data)
042	927	ICOADS3_to_CDS_ships.json	NCDC: 1986-97 Receipts (delayed)�	International Marine (US- or foreign-keyed ship data)
043	927	ICOADS3_to_CDS_ships.json	NCDC: 1986-97 Receipts (delayed)�	International Marine (US- or foreign-keyed ship data)
044	927	ICOADS3_to_CDS_ships.json	NCDC: 1986-97 Receipts (delayed)�	International Marine (US- or foreign-keyed ship data)
078	927	ICOADS3_to_CDS_ships.json	NCDC: US-keyed Logbook Data Reconversion (TD-9972; keyed during 1996-97)�	International Marine (US- or foreign-keyed ship data)
113	927	ICOADS3_to_CDS_ships.json	International Marine (US-keyed ship data)�	International Marine (US- or foreign-keyed ship data)
